"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Seymour, IN","42980",2019,59,59,0,0,0,0,0,42,36,29,0,0,59,0,0,0
"Shelton, WA","43220",2019,31,22,9,0,0,0,0,70,58,30,0,0,0,0,31,0
"Sheridan, WY","43260",2019,90,86,4,0,0,0,0,83,41,18,0,0,0,0,29,61
"Show Low, AZ","43320",2019,90,81,9,0,0,0,0,74,51,41,0,0,90,0,0,0
"Shreveport-Bossier City, LA","43340",2019,120,107,13,0,0,0,0,74,51,34,0,0,114,0,6,0
"Sierra Vista-Douglas, AZ","43420",2019,90,74,16,0,0,0,0,74,56,44,0,0,75,0,3,12
"Sioux City, IA-NE-SD","43580",2019,30,21,9,0,0,0,0,81,72,34,0,0,0,0,30,0
"Somerset, KY","43700",2019,10,10,0,0,0,0,0,50,50,25,0,0,0,0,10,0
"Somerset, PA","43740",2019,59,59,0,0,0,0,0,41,39,31,0,0,59,0,0,0
"Sonora, CA","43760",2019,31,31,0,0,0,0,0,39,36,31,0,0,31,0,0,0
"South Bend-Mishawaka, IN-MI","43780",2019,80,56,24,0,0,0,0,83,59,40,0,1,8,0,71,0
"Spartanburg, SC","43900",2019,90,73,17,0,0,0,0,84,57,41,0,0,40,0,50,0
"Spokane-Spokane Valley, WA","44060",2019,31,13,18,0,0,0,0,100,66,55,0,0,0,0,29,2
"Springfield, IL","44100",2019,86,64,22,0,0,0,0,66,60,43,0,0,22,0,64,0
"Springfield, MA","44140",2019,60,45,15,0,0,0,0,83,58,42,1,3,16,0,40,0
"Springfield, MO","44180",2019,59,57,2,0,0,0,0,52,47,21,0,0,0,0,46,13
"Springfield, OH","44220",2019,90,56,34,0,0,0,0,79,61,44,0,0,15,3,72,0
"St. George, UT","41100",2019,120,111,9,0,0,0,0,80,50,43,0,0,120,0,0,0
"St. Joseph, MO-KS","41140",2019,59,46,13,0,0,0,0,67,60,37,0,0,0,0,57,2
"St. Louis, MO-IL","41180",2019,91,34,57,0,0,0,0,99,68,54,1,1,17,2,70,0
"St. Marys, PA","41260",2019,59,59,0,0,0,0,0,45,41,34,0,0,59,0,0,0
"State College, PA","44300",2019,59,59,0,0,0,0,0,47,43,33,0,0,59,0,0,0
"Steamboat Springs, CO","44460",2019,24,24,0,0,0,0,0,35,25,9,0,0,0,0,0,24
"Stockton-Lodi, CA","44700",2019,37,16,15,6,0,0,0,137,116,57,1,0,2,0,29,5
"Summerville, GA","44900",2019,61,54,7,0,0,0,0,71,51,44,0,0,61,0,0,0
"Syracuse, NY","45060",2019,90,85,5,0,0,0,0,67,49,40,0,0,87,0,3,0
"Terre Haute, IN","45460",2019,100,81,19,0,0,0,0,82,55,39,0,0,51,0,49,0
"Toledo, OH","45780",2019,90,80,10,0,0,0,0,87,58,35,0,0,26,10,54,0
"Topeka, KS","45820",2019,90,69,21,0,0,0,0,84,63,42,0,0,39,0,51,0
"Trenton, NJ","45940",2019,88,87,1,0,0,0,0,54,44,35,0,0,88,0,0,0
"Truckee-Grass Valley, CA","46020",2019,88,81,7,0,0,0,0,65,50,41,0,0,74,0,14,0
"Tucson, AZ","46060",2019,91,75,16,0,0,0,0,84,58,43,1,0,70,0,5,15
"Tulsa, OK","46140",2019,91,50,41,0,0,0,0,87,72,49,1,0,35,0,55,0
"Tupelo, MS","46180",2019,60,53,7,0,0,0,0,84,54,44,0,0,60,0,0,0
"Tuscaloosa, AL","46220",2019,28,27,1,0,0,0,0,54,36,26,0,0,0,0,28,0
"Twin Falls, ID","46300",2019,89,89,0,0,0,0,0,29,23,10,0,0,0,0,89,0
"Utica-Rome, NY","46540",2019,28,26,2,0,0,0,0,55,50,28,0,0,0,0,28,0
"Valdosta, GA","46660",2019,109,94,15,0,0,0,0,64,55,36,0,0,0,0,109,0
"Vallejo-Fairfield, CA","46700",2019,90,75,15,0,0,0,0,90,59,38,0,1,58,0,31,0
"Vernal, UT","46860",2019,120,77,40,3,0,0,0,133,80,47,0,0,107,0,13,0
"Vincennes, IN","47180",2019,59,59,0,0,0,0,0,44,36,30,0,0,59,0,0,0
"Vineland-Bridgeton, NJ","47220",2019,90,90,0,0,0,0,0,49,44,34,0,0,90,0,0,0
"Vineyard Haven, MA","47240",2019,58,58,0,0,0,0,0,45,43,38,0,0,58,0,0,0
"Virginia Beach-Norfolk-Newport News, VA-NC","47260",2019,96,92,4,0,0,0,0,62,48,35,1,29,30,0,31,5
"Visalia-Porterville, CA","47300",2019,90,81,6,3,0,0,0,132,56,34,0,0,79,0,11,0
"Wabash, IN","47340",2019,49,49,0,0,0,0,0,45,40,33,0,0,49,0,0,0
"Walla Walla, WA","47460",2019,31,29,2,0,0,0,0,53,47,32,0,0,0,0,31,0
"Walterboro, SC","47500",2019,7,7,0,0,0,0,0,32,32,29,0,0,5,0,2,0
"Warner Robins, GA","47580",2019,59,44,15,0,0,0,0,72,54,38,0,0,0,0,59,0
"Washington Court House, OH","47920",2019,59,59,0,0,0,0,0,42,37,31,0,0,59,0,0,0
"Washington, NC","47820",2019,90,90,0,0,0,0,0,13,6,0,0,0,0,90,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV","47900",2019,120,88,32,0,0,0,0,86,59,43,0,12,39,0,66,3
"Waterloo-Cedar Falls, IA","47940",2019,118,80,38,0,0,0,0,81,64,44,0,0,42,0,76,0
"Weatherford, OK","48220",2019,90,90,0,0,0,0,0,44,17,8,0,0,0,0,0,90
"Weirton-Steubenville, WV-OH","48260",2019,90,38,50,2,0,0,0,123,70,54,0,0,7,1,82,0
"Wenatchee, WA","48300",2019,31,23,8,0,0,0,0,69,55,40,0,0,0,0,31,0
"Wheeling, WV-OH","48540",2019,91,81,10,0,0,0,0,74,53,22,6,55,0,0,30,0
"Wichita, KS","48620",2019,90,82,8,0,0,0,0,66,49,35,0,4,60,0,23,3
"Williston, ND","48780",2019,90,72,18,0,0,0,0,89,56,39,0,0,53,17,20,0
"Wilmington, NC","48900",2019,62,62,0,0,0,0,0,49,29,13,0,0,0,0,62,0
"Wilmington, OH","48940",2019,60,58,2,0,0,0,0,54,48,43,0,0,60,0,0,0
"Winchester, VA-WV","49020",2019,94,82,12,0,0,0,0,93,53,38,0,0,25,0,65,4
"Winston-Salem, NC","49180",2019,90,69,21,0,0,0,0,73,55,35,0,0,0,0,90,0
